% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct
1688	1	1	1	0	28	2292	0	1	1
1690	1	1	1	0	28	2292	0	1	1
1691	1	1	1	0	28	2292	0	1	1
1692	1	1	1	0	28	2292	0	1	1
1693	1	1	1	0	28	2292	0	1	1
1694	1	1	1	0	28	2292	0	1	1
1695	1	1	1	0	28	2292	0	1	1
1696	1	1	1	0	28	2292	0	1	1
1697	1	1	1	0	28	2292	0	1	1
1698	1	1	1	0	28	2292	0	1	1
1699	1	1	1	0	28	2292	0	1	1
1700	1	1	1	0	28	2292	0	1	1
1701	1	1	1	0	28	2292	0	1	1
1702	1	1	1	0	28	2292	0	1	1
1703	1	1	1	0	28	2292	0	1	1
1704	1	1	1	0	28	2292	0	1	1
1705	1	1	1	0	28	2292	0	1	1
1706	1	1	1	0	28	2292	0	1	1
1707	1	1	1	0	28	2292	0	1	1
1708	1	1	1	0	28	2292	0	1	1
1710	1	1	1	0	28	2292	0	1	1
1711	1	1	1	0	28	2292	0	1	1
1712	1	1	1	0	28	2292	0	1	1
1713	1	1	1	0	28	2292	0	1	1
1714	1	1	1	0	28	2292	0	1	1
1715	1	1	1	0	28	2292	0	1	1
1716	1	1	1	0	28	2292	0	1	1
1717	1	1	1	0	28	2292	0	1	1
1718	1	1	1	0	28	2292	0	1	1
1719	1	1	1	0	28	2292	0	1	1
1720	1	1	1	0	28	2292	0	1	1
1721	1	1	1	0	28	2292	0	1	1
1722	1	1	1	0	28	2292	0	1	1
1723	1	1	1	0	28	2292	0	1	1
1724	1	1	1	0	28	2292	0	1	1
1725	1	1	1	0	28	2292	0	1	1
1726	1	1	1	0	28	2292	0	1	1
1727	1	1	1	0	28	2292	0	1	1
1728	1	1	1	0	28	2292	0	1	1
1730	1	1	1	0	28	2292	0	1	1
1731	1	1	1	0	28	2292	0	1	1
1732	1	1	1	0	28	2292	0	1	1
1733	1	1	1	0	28	2292	0	1	1
1734	1	1	1	0	28	2292	0	1	1
1735	1	1	1	0	28	2292	0	1	1
1736	1	1	1	0	28	2292	0	1	1
1737	1	1	1	0	28	2292	0	1	1
1738	1	1	1	0	28	2292	0	1	1
1739	1	1	1	0	28	2292	0	1	1
1740	1	1	1	0	28	2292	0	1	1
1741	1	1	1	0	28	2292	0	1	1
1742	1	1	1	0	28	2292	0	1	1
1743	1	1	1	0	28	2292	0	1	1
1744	1	1	1	0	28	2292	0	1	1
1745	1	1	1	0	28	2292	0	1	1
1820	1	1	1	0	28	2292	0	1	1
1895	1	1	1	0	28	2292	0	1	1
1937	1	1	1	0	28	2292	0	1	1
1970	1	1	1	0	28	2292	0	1	1
2012	1	1	1	0	28	2292	0	1	1
2045	1	1	1	0	28	2292	0	1	1
2087	1	1	1	0	28	2292	0	1	1
2120	1	1	1	0	28	2292	0	1	1
2162	1	1	1	0	28	2292	0	1	1
2195	1	1	1	0	28	2292	0	1	1
2237	1	1	1	0	28	2292	0	1	1
2270	1	1	1	0	28	2292	0	1	1
2271	1	1	1	0	28	2292	0	1	1
2298	1	1	1	0	28	2292	0	1	1
2308	1	1	1	0	28	2292	0	1	1
2313	1	1	1	0	28	2292	0	1	1
2328	1	1	1	0	28	2292	0	1	1
2346	1	1	1	0	28	2292	0	1	1
2349	1	1	1	0	28	2292	0	1	1
2351	1	1	1	0	28	2292	0	1	1
2377	1	1	1	0	28	2292	0	1	1
2384	1	1	1	0	28	2292	0	1	1
2387	1	1	1	0	28	2292	0	1	1
2403	1	1	1	0	28	2292	0	1	1
2422	1	1	1	0	28	2292	0	1	1
2423	1	1	1	0	28	2292	0	1	1
2425	1	1	1	0	28	2292	0	1	1
2428	1	1	1	0	28	2292	0	1	1
2432	1	1	1	0	28	2292	0	1	1
2434	1	1	1	0	28	2292	0	1	1
2450	1	1	1	0	28	2292	0	1	1
2453	1	1	1	0	28	2292	0	1	1
2454	1	1	1	0	28	2292	0	1	1
2459	1	1	1	0	28	2292	0	1	1
2461	1	1	1	0	28	2292	0	1	1
2463	1	1	1	0	28	2292	0	1	1
2480	1	1	1	0	28	2292	0	1	1
2499	1	1	1	0	28	2292	0	1	1
2500	1	1	1	0	28	2292	0	1	1
